facility_id,facility_name,program_type,facility_status,is_active_facility,zipcode,latitude,longitude,geo_missing_flag,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,under5_capacity_current,total_capacity
798853,"Sandra Sunshine GroupFamily Day care, Inc.",GFDC,License,1,11418,40.693873,-73.842982,False,0,0,0,4,12,12,16
830328,Bright Beginnings Early Childhood Center INC,SACC,Registration,1,11361,40.760761,-73.76704,False,0,0,0,18,0,0,18
387418,"Alternative Solutions Night & Daycare, Inc.",GFDC,License,1,11207,40.665437,-73.894435,False,0,0,0,4,12,12,16
232906,"Harlem Children's Zone, Inc.",SACC,Registration,1,10026,40.80223,-73.947704,False,0,0,18,177,0,0,195
763069,Cornerstone Child Development,GFDC,License,1,11692,40.596251,-73.799837,False,0,0,0,4,12,12,16
744464,"Hip Hippo Daycare Program, Inc.",GFDC,License,1,11215,40.666618,-73.993551,False,0,0,0,4,12,12,16
571543,"Maria Gutierrez, Sandra",GFDC,License,1,10456,40.821112,-73.906892,False,0,0,0,4,12,12,16
567308,"Kearse Kids Little Ones, Inc.",GFDC,License,1,11413,40.673975,-73.751759,False,0,0,0,4,12,12,16
793957,"Reyes, Eugenia",GFDC,License,1,11221,40.692345,-73.921499,False,0,0,0,4,12,12,16
186750,Jardin Infantil Day Care,GFDC,License,1,10032,40.837292,-73.941262,False,0,0,0,4,12,12,16
487579,Chiquilandia Childcare Corp,GFDC,License,1,11368,40.747054,-73.858,False,0,0,0,4,12,12,16
254509,S.I.C.C. Inc,SACC,Registration,1,10306,40.581819,-74.098951,False,0,0,0,36,0,0,36
841391,Tiny's Kids. Inc..,GFDC,License,1,11215,40.676433,-73.984019,False,0,0,0,0,12,12,12
822384,After-School All-Stars @Dual Language MS 44,SACC,Registration,1,10024,40.780585,-73.976682,False,0,0,0,66,0,0,66
603017,YoungerMusik Corp.,GFDC,License,1,11214,40.602062,-74.002989,False,0,0,0,4,12,12,16
808586,"Mosholu Montefiore Community Center, Inc",SACC,Registration,1,10469,40.864187,-73.836302,False,0,0,0,140,0,0,140
700270,Creative Learning Clubhouse,SACC,Pending Revocation and Denial,0,10303,40.631592,-74.148481,False,0,0,0,20,0,0,20
793560,"Isakova, Susanna",GFDC,License,1,11374,,,True,0,0,0,4,12,12,16
528760,"Luna, Nora",GFDC,License,1,11205,40.692322,-73.960361,False,0,0,0,4,12,12,16
697928,"Liranzo, Luisa",FDC,Registration,1,10456,40.835769,-73.916038,False,0,0,0,2,6,6,8
857054,St.Nicks Alliance,SACC,Registration,1,11206,40.697839,-73.943652,False,0,0,0,160,0,0,160
566839,"Caminero, Mariela",GFDC,License,1,10451,40.822807,-73.92437,False,0,0,0,4,12,12,16
840218,"Wang, Mei",FDC,Registration,1,10002,40.710808,-73.994435,False,0,0,0,2,6,6,8
816291,"Community Mediation Services, Inc. @ MS 53",SACC,Registration,1,11691,40.603999,-73.749412,False,0,0,0,143,0,0,143
71817,"Castillo, Belkis",GFDC,License,1,10040,40.864146,-73.927296,False,0,0,0,4,12,12,16
566088,Shining Starz,GFDC,License,1,11207,40.680354,-73.888713,False,0,0,0,4,12,12,16
220268,BUMBLE BEE (BRONX) DAY CARE LLC,GFDC,License,1,10458,40.867138,-73.888294,False,0,0,0,4,12,12,16
709688,"NEW YORK JUNIOR TENNIS LEAGUE, INC",SACC,Registration,1,10461,40.845664,-73.829742,False,0,0,0,220,0,0,220
882058,"Elcock, Edna",GFDC,License,1,11207,40.661805,-73.885668,False,0,0,0,4,12,12,16
679107,"Campusano Compres, Maria",FDC,Registration,1,10023,40.773425,-73.985796,False,0,0,0,2,6,6,8
801856,"Paniagua De Pimentel, Margarita",GFDC,License,1,10452,40.842418,-73.920497,False,0,0,0,4,12,12,16
709843,CAMBA Inc. I.S. 240,SACC,Registration,1,11210,40.623745,-73.946486,False,0,0,0,320,0,0,320
349961,"Tejeda, Elsa",GFDC,License,1,11385,40.695471,-73.891343,False,0,0,0,4,12,12,16
824741,Little Light Of Mine Inc.,SACC,Registration,1,11374,40.730738,-73.852885,False,0,0,0,70,0,0,70
838037,"The Noel Pointer Foundation, Inc.",SACC,Registration,1,10027,40.812484,-73.95342,False,0,0,0,44,0,0,44
801933,"Jimenez, Esther",FDC,Registration,1,10467,40.870831,-73.879975,False,0,0,0,2,6,6,8
772990,"Tykes & Tots Day Care CL, Inc",GFDC,License,1,11413,40.674816,-73.749226,False,0,0,0,4,12,12,16
871526,"Cordero, Jeffrey",GFDC,License,1,11208,40.686806,-73.875203,False,0,0,0,4,12,12,16
730596,"Francis, Janet",GFDC,License,1,11433,40.691664,-73.79046,False,0,0,0,4,12,12,16
763538,"Mosholu-Montefiore Community Center, Inc.",SACC,Registration,1,10467,40.858134,-73.863865,False,0,0,0,40,0,0,40
872117,"Daisy's Fun House, Inc.",GFDC,License,1,11214,40.60743,-73.993465,False,0,0,0,4,12,12,16
880961,"Browne, Sophia",GFDC,License,1,11691,40.598723,-73.759825,False,0,0,0,4,12,12,16
815681,Royal Ambassadors Group Family Daycare,GFDC,License,1,11412,40.705586,-73.770676,False,0,0,0,4,12,12,16
224595,CAMBA Kids Unlimited @ PS 92,SACC,Registration,1,11226,40.656121,-73.954113,False,0,0,0,116,0,0,116
268858,"Xcel Tiny Tots, Inc.",SACC,Registration,1,11429,40.703648,-73.740213,False,0,0,0,17,0,0,17
225659,"Feliz, Luz O.",GFDC,License,1,10034,40.865764,-73.920845,False,0,0,0,2,12,12,14
426309,New Beginnings Family Day Care,GFDC,License,1,11225,40.666443,-73.961411,False,0,0,0,4,12,12,16
875731,"Restrepo Cardona, Maria",GFDC,License,1,11370,40.759,-73.88333,False,0,0,0,4,12,12,16
657810,"Sanchez, Carmen",GFDC,License,1,10453,40.854972,-73.912799,False,0,0,0,4,12,12,16
73867,Pee Wee Folks After School Center,SACC,Registration,1,11357,40.790127,-73.811672,False,0,0,0,40,0,0,40
876093,"Griffiths, Sherine",GFDC,License,1,11207,40.672366,-73.884612,False,0,0,0,4,12,12,16
264261,"Mack, Niema",GFDC,License,1,11207,40.660014,-73.898775,False,0,0,0,4,12,12,16
66000,"Dalrymple, Ronda",FDC,Registration,1,10035,40.806552,-73.938958,False,0,0,0,0,6,6,6
513498,"Sissoko, Djeneba",FDC,Registration,1,10030,40.820653,-73.943313,False,0,0,0,0,6,6,6
709666,"New York Edge, Inc.",SACC,Registration,1,11432,40.718605,-73.806127,False,0,0,0,78,0,0,78
746460,"Lanzo, Latisha",FDC,Registration,1,10035,40.800299,-73.943874,False,0,0,0,2,6,6,8
562485,"Bankole, Kubura",FDC,Registration,1,10453,40.852359,-73.913787,False,0,0,0,2,6,6,8
72718,Albertina Day Care,GFDC,License,1,11212,40.665008,-73.91958,False,0,0,0,4,12,12,16
558715,"Rodriguez, Ana",GFDC,License,1,10468,40.870567,-73.891975,False,0,0,0,4,12,12,16
416848,"Petre, Karen",GFDC,License,1,11373,40.739304,-73.867141,False,0,0,0,4,12,12,16
848698,Concrete Safaris Inc.,SACC,Registration,1,10029,40.797481,-73.941356,False,0,0,0,72,0,0,72
797254,Basin Prep,SACC,Registration,1,11234,40.61128,-73.913256,False,0,0,0,40,0,0,40
55152,"White, Dorla",FDC,Registration,1,10456,40.831343,-73.918478,False,0,0,0,0,6,6,6
500459,Precious Minds Learning Play House,GFDC,License,1,10302,40.62939,-74.14398,False,0,0,0,4,12,12,16
538630,"Soto, Belkis",FDC,Registration,1,10032,40.832583,-73.942932,False,0,0,0,2,6,6,8
810984,"Padilla, Denise",GFDC,License,1,11208,40.673142,-73.862104,False,0,0,0,4,12,12,16
832979,Over the Rainbow ABC,GFDC,License,1,10033,40.847037,-73.938449,False,0,0,0,4,12,12,16
839877,JDL DAYCARE CORP.,GFDC,License,1,10468,40.871937,-73.888552,False,0,0,0,4,12,12,16
882278,"The Greater Ridgewood Youth Council, Inc.",SACC,Registration,1,11418,40.697101,-73.847813,False,0,0,0,83,0,0,83
695409,Naz's Little Angels Group Day Care & Learning Ctr,GFDC,License,1,11422,40.655928,-73.733559,False,0,0,0,4,12,12,16
705921,"Alvarez, Argentina",FDC,Registration,1,10453,40.853336,-73.916201,False,0,0,0,2,6,6,8
388170,Goddard Riverside Community Center @Beacon MS 118,SACC,Registration,1,10025,40.791538,-73.970764,False,0,0,0,139,0,0,139
816790,KINDERCARE TOO GROUP FAMILY DAYCARE INC,GFDC,License,1,10467,40.88011,-73.876115,False,0,0,0,4,12,12,16
788766,Play Mates Inc.,GFDC,License,1,11218,40.631961,-73.976358,False,0,0,0,4,12,12,16
445486,"Ramirez, Criselva",GFDC,License,1,10472,40.83298,-73.880027,False,0,0,0,4,12,12,16
642427,MindfulNEST.LLC,FDC,Registration,1,10304,40.624559,-74.077364,False,0,0,0,2,6,6,8
876054,"Sunny Happy Kids NY, Inc",GFDC,License,1,11204,40.616909,-73.981602,False,0,0,0,4,12,12,16
54290,"Geronimo, Lucinda",FDC,Registration,1,10453,40.851758,-73.908156,False,0,0,0,2,6,6,8
720886,YVE'S DAY CARE,GFDC,License,1,11206,40.70582,-73.941041,False,0,0,0,4,12,12,16
774301,My Learning Bus Group Family Day Care.,GFDC,License,1,10463,40.88408,-73.89835,False,0,0,0,0,12,12,12
249431,"MISHUTKA, INC.",GFDC,License,1,11204,40.618522,-73.992438,False,0,0,0,4,12,12,16
388093,TIC TAC DAYCARE INC.,GFDC,License,1,11201,40.686348,-73.994556,False,0,0,0,4,12,12,16
234295,New York City Department of Parks and Recreation,SACC,Registration,1,10038,40.710335,-73.996702,False,0,0,0,39,0,0,39
822374,"Batista De Cespedes, Andreina",GFDC,License,1,10453,40.857244,-73.905887,False,0,0,0,4,12,12,16
818450,"Saladin Natera, Melissa",GFDC,License,1,10459,40.826504,-73.888043,False,0,0,0,2,12,12,14
306284,"Barlow, Arlene",GFDC,License,1,11434,40.682847,-73.783489,False,0,0,0,4,12,12,16
71614,"Thompson, Lovina",GFDC,License,1,11691,40.600567,-73.758205,False,0,0,0,4,12,12,16
880667,Our Faro 2 Corp.,GFDC,License,1,11204,40.617436,-73.978374,False,0,0,0,4,12,12,16
583704,"Butter Cup Group Family Daycare, LLC",GFDC,License,1,11236,40.638581,-73.916343,False,0,0,0,4,12,12,16
814150,"Richardson, Kersha",GFDC,License,1,11212,40.656635,-73.910524,False,0,0,0,4,12,12,16
156143,"Rivera Pagan, Yolanda",GFDC,License,1,10452,40.829266,-73.92308,False,0,0,0,0,12,12,12
853300,"Mellette, Dorothy",FDC,Registration,1,10456,40.823739,-73.90379,False,0,0,0,2,6,6,8
70573,"Urena, Arelis",FDC,Registration,1,10452,40.836089,-73.926146,False,0,0,0,2,5,5,7
291181,"Louis, Josefina",GFDC,License,1,11208,40.673373,-73.862068,False,0,0,0,4,12,12,16
877233,"Rodriguez Vasquez, Ana",GFDC,License,1,10467,40.879082,-73.873276,False,0,0,0,0,10,10,10
666306,"Latorre, Gladys",GFDC,License,1,11370,40.761033,-73.892771,False,0,0,0,4,12,12,16
249795,"Munoz, Rosa",FDC,Registration,1,10002,40.712201,-73.983522,False,0,0,0,2,6,6,8
878191,"The Child Center of NY, Inc.",SACC,Registration,1,11693,40.589589,-73.805555,False,0,0,0,71,0,0,71
604766,"Colon, Mayra",GFDC,License,1,10460,40.839542,-73.889417,False,0,0,0,2,12,12,14
788063,"POCHEMUCHKA, INC",GFDC,License,1,10306,40.577085,-74.106423,False,0,0,0,4,12,12,16
601431,Soles Playtime Inc,GFDC,License,1,11226,40.640363,-73.962086,False,0,0,0,4,12,12,16
444341,"Morel, Ana",FDC,Registration,1,10453,40.853511,-73.91262,False,0,0,0,2,6,6,8
872222,Blake's Kiddie Academy,GFDC,License,1,11434,40.6796,-73.781703,False,0,0,0,4,12,12,16
758605,"Rivas, Yaquelin",GFDC,License,1,10040,,,True,0,0,0,4,12,12,16
73581,"IMMIGRANT SOCIAL SERVICE, INC. @ PS 130",SACC,Registration,1,10013,40.71873,-73.998443,False,0,0,0,161,0,0,161
533473,"Jaiman, Milagros",GFDC,License,1,10454,40.809046,-73.918097,False,0,0,0,4,12,12,16
854348,New York Junior Tennis and Learning,SACC,Registration,1,10472,40.82941,-73.850256,False,0,0,0,160,0,0,160
366912,"Jimenez, Doris",GFDC,License,1,11370,40.75933,-73.886727,False,0,0,0,4,12,12,16
835311,Little Leaders Childcare,GFDC,License,1,10037,40.813104,-73.93716,False,0,0,0,4,12,12,16
340509,"Melikoglu, Muazzez",GFDC,License,1,11201,40.687699,-73.997842,False,0,0,0,4,12,12,16
427399,"Fidan, Valentina",GFDC,License,1,11377,40.734897,-73.895804,False,0,0,0,4,12,12,16
809965,"New York Edge, Inc.",SACC,Registration,1,10456,40.822076,-73.907219,False,0,0,0,120,0,0,120
495625,"Hernandez, Antonio",GFDC,License,1,10456,40.835419,-73.916313,False,0,0,0,4,12,12,16
710423,"Dieng, Souaibou",GFDC,License,1,10026,40.803397,-73.956625,False,0,0,0,4,12,12,16
339130,"New York Junior Tennis League, Inc.,@PS-215K",SACC,Registration,1,11223,40.602282,-73.970083,False,0,0,0,155,0,0,155
619985,"Tiny Tunes Daycare, Inc.",GFDC,License,1,10455,40.81646,-73.897225,False,0,0,0,4,12,12,16
342797,"Gonzalez, Laura",GFDC,License,1,10457,40.842663,-73.911757,False,0,0,0,4,12,12,16
163763,Southern Queens Park NY Beacon School,SACC,Registration,1,11433,40.697083,-73.78693,False,0,0,0,159,0,0,159
620190,"Ai Xin Service Center, Corp.",GFDC,License,1,11219,40.62973,-74.008153,False,0,0,0,4,12,12,16
72627,"Allen, Edwina",GFDC,License,1,11429,40.704675,-73.739212,False,0,0,0,2,12,12,14
451719,"Cruz Castro, Jacqueline",GFDC,License,1,10031,40.822891,-73.950628,False,0,0,0,4,12,12,16
819525,Step By Step Group Daycare Corp.,GFDC,License,1,10467,40.86892,-73.865417,False,0,0,0,4,12,12,16
736585,"Bindadin, Shakuntela",GFDC,License,1,11432,40.709556,-73.782228,False,0,0,0,4,12,12,16
754086,"Castellanos, Juana",GFDC,License,1,10453,40.851428,-73.905589,False,0,0,0,4,12,12,16
559725,"Miranda, Grace",FDC,Registration,1,10456,40.830295,-73.918364,False,0,0,0,2,6,6,8
457284,"Cardenes, Maria",GFDC,License,1,10457,40.847565,-73.904926,False,0,0,0,4,12,12,16
731350,Hakuna Matata Group Family Daycare LLC,GFDC,License,1,10040,40.854044,-73.927961,False,0,0,0,4,12,12,16
810638,Happy Leaders Day Care,GFDC,License,1,10468,40.868487,-73.900706,False,0,0,0,4,12,12,16
243830,"Castillo, Yajaira",FDC,Registration,1,10468,40.868319,-73.895456,False,0,0,0,2,6,6,8
316926,Regina's Daycare LLC,GFDC,License,1,11201,40.686595,-73.989888,False,0,0,0,4,12,12,16
173576,"James, Geneva",GFDC,License,1,10467,40.883127,-73.864842,False,0,0,0,4,12,12,16
656720,Millennium Dev. @ IS 234,SACC,Registration,1,11229,40.604257,-73.955303,False,0,0,0,120,0,0,120
283041,"ZMI Foundation, Inc",SACC,Registration,1,11412,40.691137,-73.763727,False,0,0,0,102,0,0,102
230286,Regina's Daycare LLC,GFDC,License,1,11201,40.686595,-73.989888,False,0,0,0,4,12,12,16
717958,Chachito Group Family Day Care LLC,GFDC,License,1,10458,40.854784,-73.884248,False,0,0,0,4,12,12,16
394110,"Mighty, Kenya",GFDC,License,1,10469,40.878532,-73.857583,False,0,0,0,0,12,12,12
839196,Manhattan College,SACC,Registration,1,10463,40.880758,-73.907119,False,0,0,0,200,0,0,200
828993,"Rodriguez, Amparo",GFDC,License,1,10457,40.844298,-73.911186,False,0,0,0,0,12,12,12
780304,"A Baby's Dream Day Care, Corp.",GFDC,License,1,10031,40.826821,-73.945754,False,0,0,0,4,12,12,16
331165,"United Activities Unlimited, Inc.",SACC,Registration,1,10306,40.577011,-74.100576,False,0,0,0,170,0,0,170
607940,"Rayito De Luz, Inc.",GFDC,License,1,10458,40.86739,-73.892954,False,0,0,0,4,12,12,16
73215,Hebrew Educational Society,SACC,Registration,1,11236,40.632637,-73.891053,False,0,0,0,281,0,0,281
