zipcode,in_childcare,in_population,in_employment,in_income,in_potential_locations,n_facilities,n_active_facilities,existing_total_capacity,existing_under5_capacity,n_missing_geo,n_candidate_points
11363,1,1,1,1,1,6.0,6.0,226.0,60.0,0.0,100
11364,1,1,1,1,1,16.0,16.0,1330.0,60.0,2.0,100
11365,1,1,1,1,1,20.0,20.0,1306.0,162.0,0.0,100
11366,1,1,1,1,1,14.0,14.0,587.0,144.0,0.0,100
11367,1,1,1,1,1,60.0,60.0,2205.0,606.0,10.0,100
11368,1,1,1,1,1,61.0,61.0,3057.0,502.0,7.0,100
11369,1,1,1,1,1,55.0,55.0,1444.0,592.0,1.0,100
11370,1,1,1,1,1,15.0,15.0,232.0,174.0,1.0,100
11371,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11372,1,1,1,1,1,28.0,28.0,1767.0,216.0,0.0,100
11373,1,1,1,1,1,33.0,33.0,3358.0,246.0,10.0,100
11374,1,1,1,1,1,33.0,33.0,1851.0,268.0,7.0,100
11375,1,1,1,1,1,30.0,30.0,1377.0,262.0,1.0,100
11377,1,1,1,1,1,30.0,30.0,3046.0,174.0,0.0,100
11378,1,1,1,1,1,7.0,7.0,632.0,36.0,2.0,100
11379,1,1,1,1,1,14.0,14.0,1618.0,106.0,2.0,100
11380,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11381,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11385,1,1,1,1,1,66.0,65.0,2990.0,622.0,11.0,100
11386,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11405,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11411,1,1,1,1,1,21.0,21.0,745.0,192.0,0.0,100
11412,1,1,1,1,1,47.0,47.0,1674.0,418.0,2.0,100
11413,1,1,1,1,1,59.0,59.0,2309.0,556.0,2.0,100
11414,1,1,1,1,1,13.0,13.0,828.0,114.0,0.0,100
11415,1,1,1,1,1,5.0,5.0,63.0,47.0,0.0,100
11416,1,1,1,1,1,22.0,22.0,577.0,234.0,4.0,100
11417,1,1,1,1,1,23.0,23.0,838.0,234.0,0.0,100
11418,1,1,1,1,1,31.0,30.0,1610.0,306.0,2.0,100
11419,1,1,1,1,1,27.0,27.0,1090.0,276.0,0.0,100
11420,1,1,1,1,1,45.0,45.0,1895.0,414.0,2.0,100
11421,1,1,1,1,1,39.0,39.0,1294.0,420.0,6.0,100
11422,1,1,1,1,1,48.0,48.0,1173.0,492.0,3.0,100
11423,1,1,1,1,1,15.0,15.0,489.0,148.0,2.0,100
11424,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11425,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11426,1,1,1,1,1,7.0,7.0,711.0,48.0,0.0,100
11427,1,1,1,1,1,6.0,6.0,191.0,54.0,2.0,100
11428,1,1,1,1,1,11.0,11.0,545.0,96.0,0.0,100
11429,1,1,1,1,1,22.0,22.0,357.0,224.0,2.0,100
11430,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11431,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11432,1,1,1,1,1,19.0,19.0,1232.0,132.0,0.0,100
11433,1,1,1,1,1,31.0,30.0,2105.0,240.0,0.0,100
11434,1,1,1,1,1,89.0,89.0,3225.0,851.0,4.0,100
11435,1,1,1,1,1,33.0,33.0,1759.0,252.0,0.0,100
11436,1,1,1,1,1,17.0,17.0,256.0,198.0,0.0,100
11437,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11439,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11451,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11499,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11690,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11691,1,1,1,1,1,79.0,79.0,2880.0,725.0,1.0,100
11692,1,1,1,1,1,30.0,30.0,902.0,290.0,0.0,100
11693,1,1,1,1,1,4.0,4.0,328.0,12.0,0.0,100
11694,1,1,1,1,1,8.0,8.0,752.0,30.0,0.0,100
11695,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11697,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,100
