facility_id_1,facility_id_2,zipcode,distance_miles
854827,897113,10452,0.012184852171890194
854827,902266,10452,0.054807171378221387
824851,845680,10033,0.05149016815802997
874430,887607,11367,0.022894562482465994
848778,879513,10460,0.0
848778,907086,10460,0.04803266967420536
876055,907632,10452,0.057664979420069096
876055,905183,10452,0.057664979420069096
857431,882931,10463,0.004745687353998853
857431,883995,10463,0.05548971939822877
225499,709709,10453,0.04590489800856629
225499,872896,10453,0.033208741858998934
225499,888240,10453,0.033208741858998934
867554,873974,10467,0.03594292587118538
428176,884095,10468,0.04652406444101279
262468,432062,11436,0.045307667044828116
262468,869083,11436,0.05532344356815181
262468,427977,11436,0.045307667044828116
555644,803112,10455,0.03860319690715361
555644,874218,10455,0.0596567371475814
555644,871405,10455,0.0596567371475814
555644,906136,10455,0.04310484853423407
555644,917698,10455,0.0596567371475814
324884,904213,10458,0.04692260175950048
324884,917050,10458,0.0
709528,760214,10009,0.003653817449981053
133712,709709,10453,0.05231081692605568
133712,225499,10453,0.018107557145203967
133712,872896,10453,0.031866021401449895
133712,888240,10453,0.031866021401449895
180322,907140,11233,0.0
862108,883755,11428,0.05730198534523426
142699,751001,10034,0.046663899389708614
142699,196359,10034,0.05899911710802989
372005,684304,10457,0.03875713911521238
372005,372817,10457,0.05632456400233209
833447,858807,10456,0.0
833447,862020,10456,0.014631795440660445
833447,879320,10456,0.020296268458208946
833447,844818,10456,0.0
833447,899851,10456,0.0
506043,798145,11212,0.05947882720960987
666032,72909,10460,0.00892113415323516
275348,308830,11238,0.0
667218,669953,10453,0.05023421300732243
667218,869775,10453,0.0
667218,807817,10453,0.045200833493698515
842305,845352,11215,0.0467020939691065
842305,893317,11215,0.049334168933972564
