candidate_id,facility_id,zipcode,distance_miles
3194,697785,10033,0.059533087071610834
3197,730188,10033,0.04171399123743999
3197,886976,10033,0.04838212891578612
3198,881255,10033,0.0381848758908493
3201,670030,10034,0.044339515394140674
3201,789519,10034,0.0509170387753495
3201,776621,10034,0.0563482637850032
3204,839532,10034,0.011857186715070316
3204,265859,10034,0.04343130161281988
3204,900030,10034,0.05223111802886948
3218,822401,10034,0.057084134849246
3220,359823,10034,0.04811035174424305
3224,442720,10034,0.05916959213541406
3230,885295,10034,0.030512915430682432
3234,875949,10034,0.025059448864307825
3234,196359,10034,0.05820084108518269
3234,921405,10034,0.03907918162856392
3236,716227,10034,0.05672466966212841
3236,890452,10034,0.052869375967450664
3236,908345,10034,0.05424867279880875
3237,880086,10034,0.0429135589511735
3238,142699,10034,0.05372687486821961
3238,225659,10034,0.05256707514761298
3238,751001,10034,0.03188087593494541
3238,545580,10034,0.058534029189373483
3238,196359,10034,0.03546053681133111
3238,363716,10034,0.058534029189373483
3238,901186,10034,0.04504531321220433
3238,905557,10034,0.04504531321220433
3257,799507,10034,0.02036271386920789
3257,922510,10034,0.01906315273628325
3263,878243,10034,0.055936337446910116
3263,669684,10034,0.030758050768598093
3263,709917,10034,0.030758050768598093
3263,502559,10034,0.05835609203963288
3263,890632,10034,0.0433007151121154
3267,885295,10034,0.051572628083520346
3270,875912,10034,0.050382990351007864
3270,913401,10034,0.037437544012526046
3270,902025,10034,0.050382990351007864
3272,885295,10034,0.0337599649948244
3275,716227,10034,0.0024729855383917388
3275,216453,10034,0.050637816857787676
3275,776621,10034,0.019395138811362168
3275,890452,10034,0.021420650910282668
3275,908345,10034,0.011002014950940386
3282,850438,10034,0.050986932221321044
3282,822401,10034,0.033503487504416736
3286,458338,10034,0.030317626112790274
3286,71875,10034,0.03921756665818499
3299,51708,10034,0.03349099625049838
3299,243326,10034,0.05595735401496161
3299,912870,10034,0.042256230485403515
3306,188577,10035,0.05570756516216904
3318,191045,10035,0.03219793072226231
3328,191045,10035,0.03326875753250723
3331,878518,10035,0.05132336032093773
3332,888545,10035,0.04365165281904322
3339,752681,10035,0.01965527910246109
3353,191045,10035,0.04550156257723426
3360,66000,10035,0.02120261998073028
3378,629029,10035,0.05412437112105094
3378,709894,10035,0.03469358989743605
3378,709896,10035,0.05412437112105094
3390,689572,10035,0.03576135380115659
3400,761459,10035,0.029709167118758036
3401,670531,10036,0.05349071266653698
3503,750149,10037,0.02518203807155233
3503,226063,10037,0.024977692791820546
3503,835311,10037,0.015666948534380713
3503,803514,10037,0.02518203807155233
3509,108853,10037,0.04684549319293239
3521,133408,10037,0.04207821850906505
3526,905717,10037,0.03674604962622686
3530,539178,10037,0.03494229337324281
3537,750149,10037,0.02637335525715963
3537,226063,10037,0.04554748598267809
3537,835311,10037,0.027931153695046545
3537,133408,10037,0.03496443223531622
3537,803514,10037,0.02637335525715963
3539,133408,10037,0.044093794663221726
3562,356701,10037,0.01757821087142862
3570,750149,10037,0.011374391319256692
3570,226063,10037,0.02617775097972595
3570,835311,10037,0.006872719692160881
3570,133408,10037,0.053984820585985235
3570,803514,10037,0.011374391319256692
3592,905717,10037,0.033108487370870285
3597,356701,10037,0.056152482802923814
3613,752851,10038,0.05674182890177072
3634,818672,10038,0.018821908369196408
3634,237196,10038,0.054532753863797606
3645,818672,10038,0.04858836380847573
3675,620077,10038,0.05340054854423949
3677,752851,10038,0.034513258546251736
3694,752851,10038,0.0503210180010482
3701,901413,10039,0.05020488374926385
