facility_id,facility_name,zipcode,program_type,n_f,b_f,U_f,U_f_int,cslot_f,alpha_big_f,x_added,x_total_added,u_under5_added,delta_triggered,selected_cost_regime,expansion_cost,under5_equipment_cost_expansion,total_facility_related_cost
73863,YMCA of Greater NY @Virtual Y PS 19,10310,SACC,290.0,0.0,348.0,348,250,268.9655172413793,289.0,289.0,289.0,0,low_cost_rule,72250.0,28900.0,101150.0
730639,Yeshiva Kehilath Yakov,11211,SACC,240.0,0.0,288.0,288,250,283.3333333333333,288.0,288.0,288.0,1,high_cost_rule,81600.0,28800.0,110400.0
904283,World Explorers Group Inc.,11217,SACC,240.0,0.0,288.0,288,250,283.3333333333333,288.0,288.0,288.0,1,high_cost_rule,81600.0,28800.0,110400.0
73293,"St. Nick Alliance Corp., @ Greenpoint Beacon, JHS 126",11222,SACC,240.0,0.0,288.0,288,250,283.3333333333333,288.0,288.0,288.0,1,high_cost_rule,81600.0,28800.0,110400.0
898673,"Woodside on the Move, Inc",11377,SACC,240.0,0.0,288.0,288,250,283.3333333333333,288.0,288.0,288.0,1,high_cost_rule,81600.0,28800.0,110400.0
880314,116Kids Inc.,10016,SACC,327.0,0.0,392.4,392,250,261.16207951070334,287.0,287.0,287.0,0,low_cost_rule,71750.0,28700.0,100450.0
709773,"New York Edge, Inc.",11225,SACC,288.0,0.0,345.59999999999997,345,250,269.44444444444446,287.0,287.0,287.0,0,low_cost_rule,71750.0,28700.0,100450.0
245019,BERGEN BEACH YOUTH ORG@P.S. 203,11234,SACC,288.0,0.0,345.59999999999997,345,250,269.44444444444446,287.0,287.0,287.0,0,low_cost_rule,71750.0,28700.0,100450.0
881479,New Settlement Apartments,10452,SACC,340.0,0.0,408.0,408,250,258.8235294117647,285.0,285.0,284.0,0,low_cost_rule,71250.0,28400.0,99650.0
339200,The Educational Alliance @PS 140 After 3 Program,10002,SACC,285.0,0.0,342.0,342,250,270.17543859649123,284.0,284.0,284.0,0,low_cost_rule,71000.0,28400.0,99400.0
721508,"New York Edge, Inc.",11237,SACC,284.0,0.0,340.8,340,250,270.4225352112676,283.0,283.0,283.0,0,low_cost_rule,70750.0,28300.0,99050.0
879191,BPA OF NY,11354,SACC,236.0,0.0,283.2,283,250,284.7457627118644,283.0,283.0,283.0,1,high_cost_rule,80583.05084745763,28300.0,108883.05084745763
101462,"The Educational Alliance, Inc.",10009,SACC,329.0,0.0,394.8,394,250,260.790273556231,282.0,282.0,282.0,0,low_cost_rule,70500.0,28200.0,98700.0
73899,NEIGHBORHOOD INITIATIVES DEV. P.S. 96,10467,SACC,282.0,0.0,338.4,338,250,270.92198581560285,281.0,281.0,281.0,0,low_cost_rule,70250.0,28100.0,98350.0
758579,Girls Preparatory Charter School of NY,10456,SACC,281.0,0.0,337.2,337,250,271.1743772241993,280.0,280.0,280.0,0,low_cost_rule,70000.0,28000.0,98000.0
73215,Hebrew Educational Society,11236,SACC,281.0,0.0,337.2,337,250,271.1743772241993,280.0,280.0,280.0,0,low_cost_rule,70000.0,28000.0,98000.0
135827,Parson Beacon @JHS 168,11366,SACC,281.0,0.0,337.2,337,250,271.1743772241993,280.0,280.0,280.0,0,low_cost_rule,70000.0,28000.0,98000.0
728352,"YMCA of Greater New York, Inc. @ PS 165",10025,SACC,280.0,0.0,336.0,336,250,271.42857142857144,279.0,279.0,279.0,0,low_cost_rule,69750.0,27900.0,97650.0
122355,"Manhattan Youth Recreation and Resources, Inc.",10282,SACC,269.0,0.0,322.8,322,250,274.34944237918216,279.0,279.0,279.0,1,high_cost_rule,76543.49442379181,27900.0,104443.49442379181
240673,"New York Edge, Inc.",11105,SACC,233.0,0.0,279.59999999999997,279,250,285.83690987124464,279.0,279.0,279.0,1,high_cost_rule,79748.49785407724,27900.0,107648.49785407724
860934,School Settlement Association,11211,SACC,233.0,0.0,279.59999999999997,279,250,285.83690987124464,279.0,279.0,279.0,1,high_cost_rule,79748.49785407724,27900.0,107648.49785407724
339179,The Child Center Of New York @ PS 56,11418,SACC,280.0,0.0,336.0,336,250,271.42857142857144,279.0,279.0,279.0,0,low_cost_rule,69750.0,27900.0,97650.0
135826,"The Child Center of NY, Inc. @ Basie Beacon IS 72",11434,SACC,280.0,0.0,336.0,336,250,271.42857142857144,279.0,279.0,279.0,0,low_cost_rule,69750.0,27900.0,97650.0
709683,"City Year, Inc.",10472,SACC,280.0,0.0,336.0,336,250,271.42857142857144,279.0,279.0,249.0,0,low_cost_rule,69750.0,24900.0,94650.0
177638,CAMBA After School Program P.S. 170,11209,SACC,231.0,0.0,277.2,277,250,286.5800865800866,277.0,277.0,277.0,1,high_cost_rule,79382.68398268399,27700.0,107082.68398268399
565394,"Samuel Field YM & YWHA, Inc @ PS 165",11367,SACC,278.0,0.0,333.59999999999997,333,250,271.9424460431655,277.0,277.0,277.0,0,low_cost_rule,69250.0,27700.0,96950.0
354266,The Child Center Of New York @ PS 223,11434,SACC,278.0,0.0,333.59999999999997,333,250,271.9424460431655,277.0,277.0,277.0,0,low_cost_rule,69250.0,27700.0,96950.0
791874,University Settlement @ Annex P.S. 130,11218,SACC,276.0,0.0,331.2,331,250,272.463768115942,275.0,275.0,275.0,0,low_cost_rule,68750.0,27500.0,96250.0
210123,Queens Community House Beacon @ JHS 190,11375,SACC,228.0,0.0,273.59999999999997,273,250,287.719298245614,273.0,273.0,273.0,1,high_cost_rule,78547.36842105263,27300.0,105847.36842105263
915683,Boys & Girls Club of Metro Queens @ PS 232Q,11414,SACC,228.0,0.0,273.59999999999997,273,250,287.719298245614,273.0,273.0,273.0,1,high_cost_rule,78547.36842105263,27300.0,105847.36842105263
709638,Coalition for Hispanic Family Services @ Juan Morel Campos,11206,SACC,226.0,0.0,271.2,271,250,288.49557522123894,271.0,271.0,271.0,1,high_cost_rule,78182.30088495575,27100.0,105282.30088495575
