facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cut1,cut2,cut3,cap1,cap2,cap3,U_f_realistic,coef1,coef2,coef3,geo_missing_flag
677764,Italian American Civil Rights League @MS 366,SACC,11236,40.647388,-73.891883,180,0,18,27,36,18,9,9,36,311.1111111111111,511.1111111111111,1111.111111111111,False
689575,"SCAN-Harbor, Inc.",SACC,10035,40.8071,-73.936369,40,0,4,6,8,4,2,2,8,700.0,900.0,1500.0,False
699643,"David, Richard",GFDC,10467,40.870249,-73.879746,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
702394,My First Steps Day Care DLB,GFDC,11374,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
708508,"Liang, Hong",GFDC,11364,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
720363,"New York Edge, Inc.",SACC,10469,40.866987,-73.8508,206,0,20,30,41,20,10,11,41,297.0873786407767,497.0873786407767,1097.0873786407767,False
749905,Mosholu Montefiore Community Center,SACC,10464,40.843684,-73.784915,40,0,4,6,8,4,2,2,8,700.0,900.0,1500.0,False
781415,Mn'M Kiddie Group LLC,GFDC,11211,40.704553,-73.961388,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
789544,"Geshmake Kinder, Inc.",GFDC,11218,40.636363,-73.980547,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
791237,Yeshiva Kehilath Yakov,SACC,11211,40.707164,-73.959423,284,0,28,42,56,28,14,14,56,270.4225352112676,470.4225352112676,1070.4225352112676,False
818672,"Grand Street Settlement, Inc.",SACC,10038,40.71236,-73.998909,100,0,10,15,20,10,5,5,20,400.0,600.0,1200.0,False
825327,The Q StudioLab LLC,SACC,11104,40.743341,-73.922791,100,0,10,15,20,10,5,5,20,400.0,600.0,1200.0,False
826115,"Hartley House, Inc.",SACC,10019,40.763979,-73.985859,62,0,6,9,12,6,3,3,12,522.5806451612904,722.5806451612904,1322.5806451612902,False
831636,"Grand Street Settlement, Inc. @ P. S. 157",SACC,11205,40.695267,-73.959658,101,0,10,15,20,10,5,5,20,398.019801980198,598.019801980198,1198.019801980198,False
875675,After-School All-Stars,SACC,11236,40.63544,-73.910885,196,0,19,29,39,19,10,10,39,302.0408163265306,502.0408163265306,1102.0408163265306,False
886656,"Huq, Mohammad",GFDC,10462,40.831951,-73.851559,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
888739,City of New York Parks & Recreation,SACC,10474,40.814984,-73.889068,80,0,8,12,16,8,4,4,16,450.0,650.0,1250.0,False
894399,Roads to Success,SACC,11234,40.628558,-73.928246,100,0,10,15,20,10,5,5,20,400.0,600.0,1200.0,False
911887,Montessori Playhouse Group Family Day Care,GFDC,11385,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
794470,"Kimpson, Debra",FDC,11434,,,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,True
568414,CATERPILLAR EARLY LEARNING DAYCARE INC.,GFDC,10463,40.877149,-73.909284,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
618944,Wee Bee Kidz Inc,GFDC,11233,40.684625,-73.924133,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
840230,Daycare by the Sea,GFDC,11691,40.595291,-73.761357,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
881862,"Jallow, Mariama",GFDC,11225,40.664341,-73.958775,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
53014,"Burton, Sofia",FDC,11208,40.670309,-73.865678,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
172380,Congregation Toras Emes,GFDC,10306,40.559204,-74.125539,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
769206,"Southeast Bronx Neighborhood Centers, Inc",SACC,10456,40.823296,-73.903164,79,0,7,11,15,7,4,4,15,453.1645569620253,653.1645569620254,1253.1645569620252,False
267366,"Nurse, Cora",GFDC,11210,40.63394,-73.950656,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
791983,Moore Hugs and Learn Family Daycare,GFDC,10037,40.815962,-73.937661,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
576262,"Sheocharan, Jasso",FDC,10473,40.816245,-73.862879,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
74215,"Catholic Charities Community Services, Archdiocese of New York @ IS 143",SACC,10033,40.84928,-73.931431,152,0,15,22,30,15,7,8,30,331.57894736842104,531.578947368421,1131.578947368421,False
585734,CLARIMAR KIDS CORP.,GFDC,11220,40.647348,-74.011331,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
607560,Dynamic First Steps Group Family Daycare Corp.,GFDC,10452,40.834317,-73.918321,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
251464,"Rosado, Maria",GFDC,11237,40.698064,-73.91312,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
728553,"Aspira of New York, Inc.",SACC,10473,40.823491,-73.859805,295,0,29,44,59,29,15,15,59,267.79661016949154,467.79661016949154,1067.7966101694915,False
815237,"Smart Cookies, LLC",GFDC,11204,40.630146,-73.980706,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
233516,KIPS BAY BOYS & GIRLS CLUB HELP MORRIS,SACC,10457,40.838976,-73.910195,40,0,4,6,8,4,2,2,8,700.0,900.0,1500.0,False
647797,"Gibbons, Tondelayo",FDC,11412,40.694618,-73.749959,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
367235,The Educational Garden,GFDC,11233,40.684076,-73.918325,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
867682,"Cedano Martinez, Jennifer",GFDC,10458,40.87136,-73.885563,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
404046,"Maggies My Care Daycare, LLC",GFDC,11226,40.645574,-73.963485,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
73477,University Settlement Society of New York,SACC,10002,40.720388,-73.990992,41,0,4,6,8,4,2,2,8,687.8048780487804,887.8048780487804,1487.8048780487804,False
794955,"Little Dimples, Inc.",GFDC,11204,40.624681,-73.978301,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
72446,Independent Toddler Childcare,GFDC,10009,40.729852,-73.981527,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
405628,SMILING KIDS 2 DAY CARE,GFDC,11416,40.682021,-73.855402,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
216690,The Kids Private Playhouse,GFDC,11207,40.662905,-73.886155,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
807903,Creating Stars Family Daycare LLC.,GFDC,10457,40.844611,-73.911004,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
732829,"Rowe, Cynthia",GFDC,11411,40.695873,-73.734437,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
449081,"Mc Keown, Catherine",GFDC,11231,40.680565,-73.993092,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
754427,"DIRECTIONS FOR  OUR YOUTH, INC",SACC,10456,40.835578,-73.90729,53,0,5,7,10,5,2,3,10,577.3584905660377,777.3584905660377,1377.3584905660377,False
434252,"Severino, Alexsa",FDC,10452,,,7,5,0,1,1,0,1,0,1,3057.1428571428573,3257.1428571428573,3857.1428571428573,True
378047,Alistars Play Place,GFDC,11225,40.66575,-73.955458,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
125354,"Pazmino De Chico, Piedad",GFDC,11385,40.69585,-73.891985,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
573635,BLUE STAR GROUP NETWORK INC,GFDC,10468,40.875861,-73.886327,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
876851,JAS MALGOSIA FAMILY INC.,GFDC,11385,40.712626,-73.911618,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
858758,"Polanco, Ana",GFDC,10457,40.842716,-73.892266,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
71190,"Rosner, Elaine",GFDC,10025,40.790056,-73.968408,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
860161,"SCAN-Harbor, Inc.",SACC,10029,40.793035,-73.951818,77,0,7,11,15,7,4,4,15,459.7402597402597,659.7402597402597,1259.7402597402597,False
774636,"Ramirez De Paulino, Antonia",GFDC,10033,40.852559,-73.933154,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
368551,"Khan, Bibi",GFDC,10470,40.903516,-73.853622,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
853035,"Washington, Quayahna",FDC,10451,40.822194,-73.91239,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
671714,COLORFUL SUNBURST INC.,GFDC,10466,40.889837,-73.831954,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
824922,"Glory Keem & Sky Group Family Day Care, LLC",GFDC,10303,40.631946,-74.151345,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
593803,J & D Tender Daycare Inc.,GFDC,10469,40.876002,-73.858896,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
709773,"New York Edge, Inc.",SACC,11225,40.663881,-73.948373,288,0,28,43,57,28,15,14,57,269.44444444444446,469.44444444444446,1069.4444444444443,False
232581,"KIPS BAY BOYS' CLUB, INC.",SACC,10465,40.821213,-73.825745,200,0,20,30,40,20,10,10,40,300.0,500.0,1100.0,False
629294,M & M 24HR DAYCARE INC,GFDC,10452,40.831057,-73.921963,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
72052,"Forbes, Beverley",GFDC,11225,40.661967,-73.960425,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
725643,Happy Jungle Day Care Inc,GFDC,10456,40.825997,-73.907222,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
786035,Sweet Kids Group Family Day Care Corp.,GFDC,10453,40.847764,-73.911001,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
527438,"Sanchez, Rafael",GFDC,10460,40.841252,-73.890454,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
819527,THE LITTLE HOUSE OF THE DREAMS DAYCARE CORP,GFDC,10469,40.867416,-73.851279,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
245090,Elemental Arts Daycare Center Inc.,GFDC,11218,40.640515,-73.9664,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
59615,"Disla, America",FDC,11205,40.691715,-73.970174,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
693176,"Fleary, Yudith",GFDC,10451,40.813154,-73.925272,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
115986,RAINBOW ROOM DAY CARE,GFDC,10033,40.85149,-73.93702,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
