facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cap1,cap2,cap3,cap10_cum,cap15_cum,cap20_cum,U_f_realistic,coef1,coef2,coef3,expand_low_band,expand_mid_band,expand_high_band,selected_cost_band,u_under5,expand_total,expansion_cost,under5_equipment_cost_expansion,total_expansion_related_cost
800709,BPA of NY INC.,SACC,11365,40.740697,-73.808758,267,0,26,14,13,26,40,53,53,274.9063670411985,474.9063670411985,1074.9063670411986,26.0,14.0,-0.0,10_15_pct,40.0,40.0,13796.25468164794,4000.0,17796.25468164794
230920,Queens Community House,SACC,11435,40.703812,-73.811993,260,0,26,13,13,26,39,52,52,276.9230769230769,476.9230769230769,1076.923076923077,26.0,13.0,-0.0,10_15_pct,39.0,39.0,13400.0,3900.0,17300.0
379420,"Smith, Patrice",GFDC,10302,40.640109,-74.135627,16,12,1,1,1,1,2,3,3,1450.0,1650.0,2250.0,1.0,0.0,0.0,0_10_pct,1.0,1.0,1450.0,100.0,1550.0
812935,Research Foundation of the CUNY @ NYCHA Saratoga Village,SACC,11233,40.686178,-73.917285,80,0,8,4,4,8,12,16,16,450.0,650.0,1250.0,8.0,-0.0,-0.0,0_10_pct,8.0,8.0,3600.0,800.0,4400.0
139195,The Children's Aid Society,SACC,10029,40.78531,-73.941321,199,0,19,10,10,19,29,39,39,300.50251256281405,500.5025125628141,1100.502512562814,19.0,9.0,-0.0,10_15_pct,28.0,28.0,10214.070351758794,2800.0,13014.070351758794
709788,"New York Edge, Inc.",SACC,11225,40.667074,-73.951143,160,0,16,8,8,16,24,32,32,325.0,525.0,1125.0,16.0,8.0,-0.0,10_15_pct,24.0,24.0,9400.0,2400.0,11800.0
694557,South Asian Youth Action @ MS 202,SACC,11417,40.670824,-73.845487,260,0,26,13,13,26,39,52,52,276.9230769230769,476.9230769230769,1076.923076923077,26.0,13.0,13.0,15_20_pct,52.0,52.0,27400.0,5200.0,32600.0
804777,Community Counseling and Mediation Services @ BHIS,SACC,11201,40.685309,-73.993334,182,0,18,9,9,18,27,36,36,309.8901098901099,509.8901098901099,1109.89010989011,18.0,-0.0,-0.0,0_10_pct,18.0,18.0,5578.021978021978,1800.0,7378.021978021978
339144,Bergen Beach Youth Org. @ PS 251,SACC,11234,40.632703,-73.924262,200,0,20,10,10,20,30,40,40,300.0,500.0,1100.0,20.0,-0.0,-0.0,0_10_pct,20.0,20.0,6000.0,2000.0,8000.0
709709,Girls Incorporated of New York City,SACC,10453,40.848597,-73.908567,120,0,12,6,6,12,18,24,24,366.6666666666667,566.6666666666666,1166.6666666666667,12.0,-0.0,-0.0,0_10_pct,12.0,12.0,4400.0,1200.0,5600.0
813459,ASIAN AMERICAN COALITION FOR EDUCATION II INC.,SACC,11361,40.75588,-73.772459,320,0,32,16,16,32,48,64,64,262.5,462.5,1062.5,32.0,16.0,0.0,10_15_pct,48.0,48.0,15800.0,4800.0,20600.0
817984,Research Foundation of the CUNY @ P.S. 6,SACC,11226,40.648912,-73.956363,285,0,28,14,15,28,42,57,57,270.17543859649123,470.1754385964912,1070.1754385964912,28.0,14.0,0.0,10_15_pct,42.0,42.0,14147.36842105263,4200.0,18347.36842105263
73013,Woodycrest Center For Human Development @ PS 126,SACC,10452,40.836082,-73.928784,244,0,24,12,12,24,36,48,48,281.9672131147541,481.9672131147541,1081.967213114754,24.0,-0.0,-0.0,0_10_pct,24.0,24.0,6767.213114754099,2400.0,9167.213114754099
186523,The Children's Aid Society @ I.S. 61 Life Designs Afterschool Program,SACC,10301,40.634214,-74.097545,130,0,13,6,7,13,19,26,26,353.84615384615387,553.8461538461538,1153.8461538461538,13.0,-0.0,-0.0,0_10_pct,13.0,13.0,4600.0,1300.0,5900.0
741920,"Manhattan Youth Recreation and Resources, Inc.",SACC,10038,40.708788,-74.002278,86,0,8,4,5,8,12,17,17,432.5581395348837,632.5581395348837,1232.5581395348838,8.0,4.0,-0.0,10_15_pct,12.0,12.0,5990.697674418605,1200.0,7190.697674418605
101510,THE MARY MITCHILL FAMILY & YTH CTR,SACC,10460,40.844797,-73.887251,80,0,8,4,4,8,12,16,16,450.0,650.0,1250.0,8.0,4.0,0.0,10_15_pct,12.0,12.0,6200.0,1200.0,7400.0
120981,Henry Street Settlement ASP @PS 20,SACC,10002,40.72131,-73.986567,306,0,30,15,16,30,45,61,61,265.359477124183,465.359477124183,1065.359477124183,30.0,15.0,0.0,10_15_pct,45.0,45.0,14941.176470588234,4500.0,19441.176470588234
874736,"Center for Family Life in Sunset Park, Inc.",SACC,11232,40.64617,-74.001798,294,0,29,15,14,29,44,58,58,268.02721088435374,468.02721088435374,1068.0272108843535,29.0,-0.0,-0.0,0_10_pct,29.0,29.0,7772.789115646258,2900.0,10672.789115646257
845906,BEANSTALK CHILD CARE ACADEMY,SACC,10451,40.817779,-73.920839,53,0,5,2,3,5,7,10,10,577.3584905660377,777.3584905660377,1377.3584905660375,5.0,2.0,0.0,10_15_pct,7.0,7.0,4441.509433962265,700.0,5141.509433962265
743353,Maspeth Town Hall @ PS 58,SACC,11378,40.728777,-73.890321,200,0,20,10,10,20,30,40,40,300.0,500.0,1100.0,20.0,10.0,8.0,15_20_pct,38.0,38.0,19800.0,3800.0,23600.0
73557,The Chinese Methodist Center Corp.,SACC,10002,40.712202,-73.996677,141,0,14,7,7,14,21,28,28,341.84397163120565,541.8439716312057,1141.8439716312057,14.0,7.0,0.0,10_15_pct,21.0,21.0,8578.72340425532,2100.0,10678.72340425532
709684,The East Side House,SACC,10465,40.827038,-73.818645,80,0,8,4,4,8,12,16,16,450.0,650.0,1250.0,8.0,-0.0,-0.0,0_10_pct,8.0,8.0,3600.0,800.0,4400.0
709637,Millennium Development @ MS 137 School of Heros,SACC,11417,40.678282,-73.839646,235,0,23,12,12,23,35,47,47,285.1063829787234,485.1063829787234,1085.106382978723,23.0,12.0,12.0,15_20_pct,47.0,47.0,25399.999999999996,4700.0,30099.999999999996
441165,The Children's Aid Society,SACC,10460,40.836461,-73.892784,180,0,18,9,9,18,27,36,36,311.1111111111111,511.1111111111111,1111.111111111111,18.0,9.0,0.0,10_15_pct,27.0,27.0,10200.0,2700.0,12900.0
734457,Roads to Success,SACC,10463,40.883275,-73.891095,250,0,25,12,13,25,37,50,50,280.0,480.0,1080.0,25.0,12.0,-0.0,10_15_pct,37.0,37.0,12760.0,3700.0,16460.0
652938,Serious Fun @ P.S. 166Q,SACC,11106,40.757339,-73.926471,205,0,20,10,11,20,30,41,41,297.5609756097561,497.5609756097561,1097.560975609756,20.0,-0.0,-0.0,0_10_pct,20.0,20.0,5951.219512195122,2000.0,7951.219512195122
679417,The Harlem-Dowling Children's Service@ W. Side Ctr. ASP 36,SACC,10027,40.810501,-73.957398,136,0,13,7,7,13,20,27,27,347.05882352941177,547.0588235294117,1147.0588235294117,13.0,7.0,0.0,10_15_pct,20.0,20.0,8341.176470588234,2000.0,10341.176470588234
709850,NIA After- School Program @ Urban Assembly School,SACC,11204,40.634899,-73.981831,100,0,10,5,5,10,15,20,20,400.0,600.0,1200.0,10.0,-0.0,-0.0,0_10_pct,10.0,10.0,4000.0,1000.0,5000.0
608022,Maspeth Town Hall @ PS/IS 119.,SACC,11385,40.70468,-73.874738,200,0,20,10,10,20,30,40,40,300.0,500.0,1100.0,20.0,-0.0,-0.0,0_10_pct,20.0,20.0,6000.0,2000.0,8000.0
840069,Achievement Lab LLC,SACC,10454,40.807596,-73.912852,200,0,20,10,10,20,30,40,40,300.0,500.0,1100.0,20.0,10.0,-0.0,10_15_pct,30.0,30.0,11000.0,3000.0,14000.0
355973,St. Christopher-Ottilie Family of Serv. @ PS 5,SACC,11233,40.685537,-73.922602,191,0,19,9,10,19,28,38,38,304.71204188481676,504.7120418848168,1104.7120418848167,19.0,9.0,-0.0,10_15_pct,28.0,28.0,10331.93717277487,2800.0,13131.93717277487
