zipcode,pop_0_5,pop_6_12,child_pop_0_12,employment_rate,average_income,employment_missing_flag,income_missing_flag,pop_0_5_missing_flag,pop_6_12_missing_flag,child_pop_0_12_missing_flag,high_demand,total_threshold_rule,req_total,req_under5,existing_total,existing_under5,n_active_facilities,gap_total,gap_under5,is_desert_total_before,is_under5_short_before,needs_intervention_before
10122,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10123,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10124,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10125,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10126,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10128,2791.0,2686.0,5477.0,0.5517241379310345,111992.48721227625,0,0,0,0,0,0,1825.6666666666663,1826,1861,301.0,0.0,3.0,1525.0,1861.0,1,1,1
10129,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10130,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10131,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10132,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10133,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10138,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
